city,year,weekOfYear,total_cases
iq,2007,37,6
iq,2007,38,5
iq,2007,39,4
iq,2007,40,6
iq,2007,41,5
iq,2007,42,5
iq,2007,43,7
iq,2007,44,7
iq,2007,45,5
iq,2007,46,6
iq,2007,47,7
iq,2007,48,8
iq,2007,49,7
iq,2007,50,6
iq,2007,51,8
iq,2007,52,7
iq,2008,1,5
iq,2008,2,8
iq,2008,3,7
iq,2008,4,7
iq,2008,5,7
iq,2008,6,4
iq,2008,7,7
iq,2008,8,7
iq,2008,9,8
iq,2008,10,6
iq,2008,11,6
iq,2008,12,7
iq,2008,13,8
iq,2008,14,7
iq,2008,15,7
iq,2008,16,7
iq,2008,17,8
iq,2008,18,7
iq,2008,19,7
iq,2008,20,7
iq,2008,21,8
iq,2008,22,7
iq,2008,23,7
iq,2008,24,7
iq,2008,25,8
iq,2008,26,7
iq,2008,27,6
iq,2008,28,6
iq,2008,29,7
iq,2008,30,7
iq,2008,31,7
iq,2008,32,6
iq,2008,33,7
iq,2008,34,4
iq,2008,35,5
iq,2008,36,5
iq,2008,37,7
iq,2008,38,6
iq,2008,39,6
iq,2008,40,4
iq,2008,41,4
iq,2008,42,6
iq,2008,43,6
iq,2008,44,6
iq,2008,45,7
iq,2008,46,6
iq,2008,47,6
iq,2008,48,7
iq,2008,49,7
iq,2008,50,6
iq,2008,51,6
iq,2008,52,5
iq,2009,1,5
iq,2009,2,7
iq,2009,3,7
iq,2009,4,7
iq,2009,5,7
iq,2009,6,7
iq,2009,7,7
iq,2009,8,6
iq,2009,9,7
iq,2009,10,7
iq,2009,11,7
iq,2009,12,7
iq,2009,13,7
iq,2009,14,7
iq,2009,15,6
iq,2009,16,8
iq,2009,17,8
iq,2009,18,7
iq,2009,19,7
iq,2009,20,7
iq,2009,21,7
iq,2009,22,8
iq,2009,23,7
iq,2009,24,7
iq,2009,25,7
iq,2009,26,7
