city,year,weekOfYear,week_start_date,total_cases,station_max_temp_c,station_avg_temp_c,station_precip_mm,station_min_temp_c,station_diur_temp_rng_c,precipitation_amt_mm,reanalysis_sat_precip_amt_mm,reanalysis_dew_point_temp_k,reanalysis_air_temp_k,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,reanalysis_precip_amt_kg_per_m2,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_avg_temp_k,reanalysis_tdtr_k,ndvi_location_1,ndvi_location_2,ndvi_location_3,ndvi_location_4
iq,2000,26,2000-07-01,0,31.6,26.34,3.63,21.03,10.51,0.43,3.63,295.184286,296.74,92.418571,16.651429,6.17,302.914286,293.985714,298.45,8.928571,0.192886,0.2472,0.132257,0.340886
iq,2000,27,2000-07-08,0,33.07,26.91,8.66,20.9,11.91,12.23,8.66,295.358571,296.634286,93.581429,16.862857,6.571429,303.585714,293.271429,298.428571,10.314286,0.216833,0.241657,0.2761,0.289457
iq,2000,28,2000-07-15,0,31.0,26.74,7.93,20.97,11.44,1.3,7.93,295.622857,296.415714,95.848571,17.12,9.252857,301.085714,293.7,297.392857,7.385714,0.176757,0.128014,0.173129,0.204114
iq,2000,29,2000-07-22,0,27.58,25.02,0.8,18.23,12.55,4.83,0.8,292.797143,295.357143,87.234286,14.431429,3.422857,300.785714,291.671429,296.228571,9.114286,0.227729,0.200314,0.145429,0.2542
iq,2000,30,2000-07-29,0,31.61,25.97,8.97,20.34,11.27,1.44,8.97,293.957143,296.432857,88.161429,15.444286,4.542857,302.385714,292.885714,297.635714,9.5,0.328643,0.361043,0.322129,0.254371
iq,2000,31,2000-08-05,0,30.64,25.07,2.32,19.67,11.19,0.77,2.32,291.725714,297.191429,74.728571,13.421429,0.142857,305.171429,291.4,298.285714,13.771429,0.205529,0.255314,0.190757,0.231671
iq,2000,32,2000-08-12,0,32.71,27.0,12.77,21.29,11.43,11.0,12.77,293.821429,297.32,83.275714,15.311429,3.811429,304.714286,293.242857,298.978571,11.471429,0.312486,0.387271,0.329986,0.380586
iq,2000,33,2000-08-19,0,31.5,26.39,6.01,21.26,10.2,6.57,6.01,293.992857,297.627143,82.49,15.465714,2.414286,306.185714,292.485714,299.335714,13.7,0.384133,0.38275,0.39224,0.34178
iq,2000,34,2000-08-26,0,32.99,26.61,7.03,20.91,12.73,12.89,7.03,292.904286,298.238571,74.74,14.444286,0.798571,306.457143,292.685714,299.571429,13.771429,0.408157,0.302714,0.322157,0.406714
iq,2000,35,2000-09-02,0,33.58,27.22,7.66,20.93,12.57,12.83,7.66,293.472857,299.218571,74.151429,15.057143,2.295714,307.157143,294.7,300.928571,12.457143,0.332043,0.324257,0.321057,0.314614
iq,2000,36,2000-09-09,1,34.91,28.39,3.3,21.79,12.84,9.69,3.3,290.635714,300.802857,57.787143,12.652857,0.357143,309.385714,294.485714,301.935714,14.9,0.295586,0.265929,0.295683,0.312214
iq,2000,37,2000-09-16,0,33.94,27.6,4.95,21.33,12.71,1.14,4.95,293.64,299.858571,71.66,15.227143,0.585714,308.3,294.442857,301.371429,13.857143,0.284657,0.328157,0.309757,0.387883
iq,2000,38,2000-09-23,0,33.31,27.24,13.94,21.04,12.11,14.89,13.94,292.707143,297.435714,77.487143,14.338571,0.457143,304.171429,292.857143,298.514286,11.314286,0.348814,0.242571,0.295717,0.404843
iq,2000,39,2000-09-30,0,33.36,27.11,13.7,21.04,12.37,12.7,13.7,293.217143,299.355714,71.462857,14.798571,0.371429,308.357143,293.414286,300.885714,14.942857,0.175686,0.182786,0.099483,0.225714
