city,year,weekOfYear,week_start_date,total_cases,station_max_temp_c,station_avg_temp_c,station_precip_mm,station_min_temp_c,station_diur_temp_rng_c,precipitation_amt_mm,reanalysis_sat_precip_amt_mm,reanalysis_dew_point_temp_k,reanalysis_air_temp_k,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,reanalysis_precip_amt_kg_per_m2,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_avg_temp_k,reanalysis_tdtr_k,ndvi_location_1,ndvi_location_2,ndvi_location_3,ndvi_location_4
sj,1990,18,1990-04-30,4,28.89,25.44,1.77,21.99,6.9,2.29,1.77,292.414286,297.572857,73.365714,14.012857,4.571429,299.057143,296.428571,297.742857,2.628571,0.198483,0.1226,0.177617,0.103725
sj,1990,19,1990-05-07,5,29.91,26.71,3.26,23.54,6.37,1.23,3.26,293.951429,298.211429,77.368571,15.372857,2.562857,299.628571,297.257143,298.442857,2.371429,0.162357,0.1699,0.155486,0.142175
sj,1990,20,1990-05-14,4,29.97,26.71,4.93,23.49,6.49,5.91,4.93,295.434286,298.781429,82.052857,16.848571,3.728571,300.028571,297.728571,298.878571,2.3,0.1572,0.03225,0.170843,0.172967
sj,1990,21,1990-05-21,3,30.87,27.47,2.19,24.1,6.77,0.57,2.19,295.31,298.987143,80.337143,16.672857,1.985714,300.442857,298.014286,299.228571,2.428571,0.227557,0.128633,0.235886,0.245067
sj,1990,22,1990-05-28,6,33.64,28.94,1.07,24.27,9.37,0.83,1.07,295.821429,299.518571,80.46,17.21,1.742857,301.171429,298.157143,299.664286,3.014286,0.2512,0.1962,0.24734,0.2622
sj,1990,23,1990-06-04,2,31.6,28.11,1.37,24.66,6.94,5.59,1.37,295.851429,299.63,79.891429,17.212857,3.784286,300.814286,298.714286,299.764286,2.1,0.254314,0.1962,0.181743,0.17485
sj,1990,24,1990-06-11,4,30.81,27.41,0.5,24.04,6.77,4.24,0.5,295.865714,299.207143,82.0,17.234286,5.514286,300.242857,298.2,299.221429,2.042857,0.205071,0.1129,0.210271,0.0928
sj,1990,25,1990-06-18,5,32.21,28.37,21.59,24.53,7.69,3.01,21.59,296.531429,299.591429,83.375714,17.977143,4.285714,300.314286,298.742857,299.528571,1.571429,0.151471,0.0725,0.133029,0.0725
sj,1990,26,1990-06-25,10,31.99,28.33,2.76,24.6,7.39,3.01,2.76,296.378571,299.578571,82.768571,17.79,5.358571,300.5,298.614286,299.557143,1.885714,0.125571,0.10245,0.1236,0.146175
sj,1990,27,1990-07-02,6,31.59,28.33,2.06,25.07,6.51,0.16,2.06,296.651429,300.154286,81.281429,18.071429,4.057143,301.285714,299.271429,300.278571,2.014286,0.160683,0.10245,0.202567,0.12155
sj,1990,28,1990-07-09,8,31.11,27.56,3.18,23.96,7.16,9.1,3.18,296.041429,299.512857,81.467143,17.418571,6.245714,300.671429,298.514286,299.592857,2.157143,0.191943,0.192875,0.152929,0.08235
sj,1990,29,1990-07-16,2,31.59,28.13,8.45,24.69,6.9,1.74,8.45,296.334286,299.667143,82.144286,17.737143,5.842857,300.957143,298.542857,299.75,2.414286,0.3012,0.2916,0.280667,0.2118
sj,1990,30,1990-07-23,6,31.29,28.11,2.35,24.93,6.36,4.66,2.35,295.96,299.558571,80.742857,17.341429,6.075714,300.671429,298.6,299.635714,2.071429,0.2269,0.150567,0.214557,0.1717
sj,1990,31,1990-07-30,17,32.29,28.24,4.67,24.2,8.09,5.37,4.67,296.172857,299.862857,80.584286,17.594286,4.942857,301.242857,298.657143,299.95,2.585714,0.3797,0.150567,0.381357,0.24715
sj,1990,32,1990-08-06,23,31.99,28.2,4.11,24.43,7.56,1.63,4.11,296.532857,300.391429,79.65,17.95,2.857143,301.642857,299.314286,300.478571,2.328571,0.164443,0.150567,0.138857,0.064333
sj,1990,33,1990-08-13,13,31.37,28.04,12.96,24.69,6.69,6.39,12.96,297.035714,299.958571,84.178571,18.515714,14.557143,300.885714,299.028571,299.957143,1.857143,0.206957,0.150567,0.168243,0.128033
sj,1990,34,1990-08-20,21,31.84,28.34,4.63,24.83,7.01,0.77,4.63,296.728571,300.332857,80.947143,18.174286,3.7,301.657143,299.171429,300.414286,2.485714,0.167657,0.190233,0.172286,0.1688
sj,1990,35,1990-08-27,28,31.91,28.66,5.85,25.39,6.53,1.96,5.85,297.017143,300.118571,83.348571,18.515714,5.685714,301.171429,299.271429,300.221429,1.9,0.264171,0.2529,0.284314,0.33075
sj,1990,36,1990-09-03,24,32.14,28.33,4.12,24.53,7.61,2.03,4.12,296.117143,300.53,77.172857,17.56,4.342857,302.371429,298.9,300.635714,3.471429,0.283817,0.2354,0.230443,0.200025
sj,1990,37,1990-09-10,20,32.71,28.69,9.22,24.66,8.06,3.7,9.22,297.192857,300.674286,81.551429,18.777143,3.454286,302.242857,299.342857,300.792857,2.9,0.1234,0.127967,0.148283,0.4371
sj,1990,38,1990-09-17,40,32.31,28.24,20.53,24.2,8.11,0.47,20.53,296.431429,299.857143,81.637143,17.892857,5.228571,300.771429,299.028571,299.9,1.742857,0.254829,0.19635,0.305686,0.182433
sj,1990,39,1990-09-24,27,32.21,28.34,7.34,24.49,7.73,2.26,7.34,296.028571,300.427143,77.048571,17.468571,2.342857,301.728571,299.471429,300.6,2.257143,0.199443,0.1161,0.244217,0.2609
sj,1990,40,1990-10-01,42,32.79,28.77,4.45,24.76,8.03,1.67,4.45,296.664286,300.775714,78.52,18.18,5.157143,302.3,299.4,300.85,2.9,0.212486,0.22855,0.201186,0.18975
sj,1990,41,1990-10-08,33,32.3,28.63,7.35,24.99,7.31,8.24,7.35,296.928571,299.857143,84.11,18.512857,18.914286,301.228571,298.657143,299.942857,2.571429,0.179467,0.17115,0.157717,0.06755
sj,1990,42,1990-10-15,43,31.34,27.63,20.51,23.94,7.4,8.83,20.51,296.544286,299.195714,85.621429,18.115714,39.942857,300.242857,298.371429,299.307143,1.871429,0.181617,0.17115,0.16575,0.0702
sj,1990,43,1990-10-22,37,30.57,26.77,18.15,22.94,7.63,13.07,18.15,296.257143,298.902857,85.502857,17.75,13.502857,299.942857,298.142857,299.042857,1.8,0.128829,0.1462,0.123929,0.08975
sj,1990,44,1990-10-29,57,32.31,27.97,14.48,23.67,8.64,0.9,14.48,296.534286,299.727143,82.787143,18.034286,3.18,300.671429,298.885714,299.778571,1.785714,0.318,0.25225,0.2959,0.183433
sj,1990,45,1990-11-05,71,32.7,28.47,4.48,24.27,8.43,0.94,4.48,296.564286,299.972857,81.715714,18.074286,2.057143,301.228571,298.842857,300.035714,2.385714,0.178329,0.1526,0.186629,0.181775
sj,1990,46,1990-11-12,44,31.84,27.54,2.86,23.24,8.6,5.56,2.86,295.687143,300.35,75.728571,17.085714,1.014286,301.6,299.4,300.5,2.2,0.180386,0.2908,0.234886,0.2246
sj,1990,47,1990-11-19,56,30.5,26.8,2.86,23.09,7.41,1.37,2.86,295.375714,299.511429,78.151429,16.752857,5.242857,300.9,298.371429,299.635714,2.528571,0.131633,0.2722,0.125383,0.33035
sj,1990,48,1990-11-26,53,29.76,26.2,4.8,22.63,7.13,3.81,4.8,294.811429,298.238571,81.385714,16.208571,6.328571,299.257143,297.271429,298.264286,1.985714,0.176786,0.136767,0.141586,0.216525
sj,1990,49,1990-12-03,52,28.8,25.99,1.42,23.26,5.54,9.86,1.42,294.782857,298.542857,79.908571,16.161429,10.257143,299.714286,297.657143,298.685714,2.057143,0.266783,0.1098,0.2517,0.0886
sj,1990,50,1990-12-10,47,28.56,24.69,0.0,20.79,7.77,0.4,0.0,292.004286,298.202857,68.722857,13.615714,0.585714,299.771429,296.785714,298.278571,2.985714,0.191386,0.12135,0.209986,0.26166
sj,1990,51,1990-12-17,26,29.04,25.71,7.49,22.46,6.59,2.83,7.49,294.558571,298.297143,80.082857,15.954286,4.615714,299.814286,296.942857,298.378571,2.871429,0.260857,0.293133,0.302729,0.266867
sj,1990,52,1990-12-24,27,28.07,25.16,0.0,22.23,5.84,2.99,0.0,292.105714,298.038571,69.681429,13.682857,0.78,299.228571,296.942857,298.085714,2.285714,0.171267,0.3025,0.161622,0.277233
sj,1991,1,1991-01-01,21,28.1,24.39,0.0,20.64,7.46,0.76,0.0,291.907143,297.06,72.938571,13.511429,0.685714,298.4,295.871429,297.135714,2.528571,0.1515,0.1465,0.167314,0.140467
sj,1991,2,1991-01-08,21,28.07,24.91,2.26,21.76,6.31,4.53,2.26,293.282857,297.674286,76.628571,14.671429,3.761429,298.771429,296.885714,297.828571,1.885714,0.2519,0.1465,0.137617,0.100467
sj,1991,3,1991-01-15,26,28.56,25.24,0.0,21.99,6.57,2.36,0.0,293.412857,297.422857,78.5,14.798571,3.914286,298.657143,296.657143,297.657143,2.0,0.259943,0.1465,0.2179,0.293567
sj,1991,4,1991-01-22,34,28.63,24.71,0.0,20.86,7.77,0.97,0.0,292.382857,297.884286,71.597143,13.878571,0.1,299.428571,296.871429,298.15,2.557143,0.221029,0.3313,0.202757,0.309333
sj,1991,5,1991-01-29,37,28.89,24.83,0.0,20.73,8.16,0.84,0.0,292.572857,298.044286,71.784286,14.044286,0.814286,299.614286,296.842857,298.228571,2.771429,0.243857,0.0917,0.1956,0.246425
sj,1991,6,1991-02-05,17,28.49,25.06,0.0,21.6,6.89,1.04,0.0,293.15,297.74,75.794286,14.541429,2.812857,299.142857,296.714286,297.928571,2.428571,0.255043,0.3801,0.2258,0.228567
sj,1991,7,1991-02-12,19,29.59,25.14,2.58,20.71,8.87,0.8,2.58,292.972857,296.884286,78.895714,14.46,3.057143,298.714286,295.514286,297.114286,3.2,0.276243,0.0712,0.267343,0.2211
sj,1991,8,1991-02-19,25,30.07,25.84,0.0,21.6,8.47,2.54,0.0,293.631429,297.414286,79.74,15.035714,3.742857,298.9,296.328571,297.614286,2.571429,0.108433,0.0712,0.1194,0.2094
sj,1991,9,1991-02-26,18,28.87,25.26,4.54,21.67,7.2,4.39,4.54,293.407143,297.505714,77.977143,14.794286,3.4,298.885714,296.771429,297.828571,2.114286,0.13752,0.1702,0.191433,0.2086
sj,1991,10,1991-03-05,21,30.16,26.01,0.0,21.84,8.31,1.56,0.0,293.531429,297.777143,77.315714,14.92,1.185714,299.2,296.957143,298.078571,2.242857,0.247686,0.21075,0.216357,0.2641
sj,1991,11,1991-03-12,17,30.4,25.93,0.0,21.43,8.97,0.51,0.0,293.335714,297.431429,78.138571,14.787143,1.91,299.0,296.271429,297.635714,2.728571,0.21325,0.21075,0.240543,0.2641
sj,1991,12,1991-03-19,17,29.59,26.09,0.0,22.61,6.97,0.81,0.0,293.254286,297.407143,77.882857,14.745714,1.585714,298.885714,296.342857,297.614286,2.542857,0.147014,0.1279,0.1593,0.1784
sj,1991,13,1991-03-26,16,29.36,26.06,0.0,22.77,6.59,3.84,0.0,293.74,297.47,80.001429,15.148571,3.037143,299.071429,296.314286,297.692857,2.757143,0.247883,0.28035,0.247386,0.223575
